Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(9),H2(11),C2H3(14),C#C(20),C2H2(24),C3H7(16),C4H7(22),C4H7(41),C4H7(36),C4H6(42),C4H6(85),C4H6(65),C4H6(43),C4H7(26),C4H5(28),C4H5(180),C3H5(25)
0,0.112245372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.03E-19,0.112245372,0,0,0,0,1,2.55E-16,1.04E-18,7.81E-29,1.04E-18,3.08E-29,4.59E-29,7.37E-49,5.35E-59,5.11E-72,7.36E-57,8.32E-89,1.67E-96,3.29E-98,4.21E-99,4.79E-110,2.38E-110,2.15E-104,1.88E-89,8.43E-118,2.09E-127,3.67E-86
2.25E-18,0.112245372,0,0,0,0,1,7.14E-16,2.92E-18,4.72E-28,2.92E-18,1.86E-28,2.77E-28,8.75E-48,1.20E-57,2.11E-70,2.31E-55,6.42E-87,2.33E-94,4.61E-96,5.89E-97,1.21E-107,6.02E-108,3.01E-102,2.14E-87,1.41E-115,6.33E-125,4.17E-84
5.14E-18,0.112245372,0,0,0,0,1,1.63E-15,6.66E-18,2.27E-27,6.66E-18,8.96E-28,1.33E-27,8.59E-47,2.37E-56,8.35E-69,5.16E-54,7.00E-85,5.07E-92,1.00E-93,1.28E-94,5.26E-105,2.61E-105,6.54E-100,1.94E-85,6.43E-113,5.75E-122,3.78E-82
1.09E-17,0.112245372,0,0,0,0,1,3.47E-15,1.42E-17,9.92E-27,1.42E-17,3.91E-27,5.83E-27,7.60E-46,4.21E-55,2.98E-67,9.66E-53,5.73E-83,8.30E-90,1.64E-91,2.10E-92,1.73E-102,8.57E-103,1.07E-97,1.47E-83,2.19E-110,3.92E-119,2.86E-80
2.25E-17,0.112245372,0,0,0,0,1,7.14E-15,2.92E-17,4.14E-26,2.92E-17,1.63E-26,2.43E-26,6.39E-45,7.10E-54,1.01E-65,1.67E-51,4.12E-81,1.20E-87,2.36E-89,3.02E-90,4.97E-100,2.47E-100,1.54E-95,1.02E-81,6.44E-108,2.31E-116,1.99E-78
4.56E-17,0.112245372,0,0,0,0,1,1.45E-14,5.92E-17,1.69E-25,5.92E-17,6.67E-26,9.94E-26,5.24E-44,1.17E-52,3.31E-64,2.77E-50,2.79E-79,1.62E-85,3.20E-87,4.10E-88,1.35E-97,6.70E-98,2.09E-93,6.82E-80,1.77E-105,1.27E-113,1.33E-76
9.19E-17,0.112245372,0,0,0,0,1,2.92E-14,1.19E-16,6.84E-25,1.19E-16,2.70E-25,4.02E-25,4.24E-43,1.89E-51,1.07E-62,4.52E-49,1.84E-77,2.14E-83,4.22E-85,5.40E-86,3.55E-95,1.77E-95,2.76E-91,4.45E-78,4.68E-103,6.70E-111,8.67E-75
1.84E-16,0.112245372,0,0,0,0,1,5.85E-14,2.39E-16,2.75E-24,2.39E-16,1.08E-24,1.62E-24,3.41E-42,3.04E-50,3.46E-61,7.30E-48,1.19E-75,2.77E-81,5.48E-83,7.01E-84,9.23E-93,4.59E-93,3.58E-89,2.88E-76,1.22E-100,3.49E-108,5.61E-73
3.70E-16,0.112245372,0,0,0,0,1,1.17E-13,4.79E-16,1.10E-23,4.79E-16,4.35E-24,6.48E-24,2.74E-41,4.89E-49,1.11E-59,1.17E-46,7.69E-74,3.57E-79,7.06E-81,9.04E-82,2.38E-90,1.18E-90,4.61E-87,1.85E-74,3.14E-98,1.80E-105,3.61E-71
7.40E-16,0.112245372,0,0,0,0,1,2.35E-13,9.59E-16,4.42E-23,9.59E-16,1.74E-23,2.60E-23,2.20E-40,7.83E-48,3.56E-58,1.88E-45,4.94E-72,4.58E-77,9.07E-79,1.16E-79,6.11E-88,3.04E-88,5.93E-85,1.19E-72,8.09E-96,9.24E-103,2.31E-69
1.48E-15,0.112245372,0,0,0,0,1,4.70E-13,1.92E-15,1.77E-22,1.92E-15,6.97E-23,1.04E-22,1.76E-39,1.25E-46,1.14E-56,3.02E-44,3.17E-70,5.86E-75,1.16E-76,1.49E-77,1.57E-85,7.79E-86,7.60E-83,7.61E-71,2.07E-93,4.72E-100,1.48E-67
2.96E-15,0.112245372,0,0,0,0,1,9.40E-13,3.84E-15,7.07E-22,3.84E-15,2.79E-22,4.16E-22,1.41E-38,2.01E-45,3.65E-55,4.83E-43,2.03E-68,7.48E-73,1.49E-74,1.91E-75,4.02E-83,2.00E-83,9.73E-81,4.87E-69,5.32E-91,2.40E-97,9.49E-66
5.92E-15,0.112245372,0,0,0,0,1,1.88E-12,7.68E-15,2.83E-21,7.68E-15,1.12E-21,1.66E-21,1.13E-37,3.21E-44,1.17E-53,7.73E-42,1.30E-66,9.49E-71,1.91E-72,2.44E-73,1.03E-80,5.11E-81,1.25E-78,3.12E-67,1.36E-88,1.21E-94,6.08E-64
1.18E-14,0.112245372,0,0,0,0,1,3.76E-12,1.54E-14,1.13E-20,1.54E-14,4.47E-21,6.65E-21,9.00E-37,5.14E-43,3.73E-52,1.24E-40,8.32E-65,1.19E-68,2.44E-70,3.13E-71,2.63E-78,1.31E-78,1.60E-76,2.00E-65,3.49E-86,6.06E-92,3.89E-62
2.37E-14,0.112245372,0,0,0,0,1,7.52E-12,3.07E-14,4.53E-20,3.07E-14,1.79E-20,2.66E-20,7.20E-36,8.23E-42,1.19E-50,1.98E-39,5.32E-63,1.47E-66,3.13E-68,4.00E-69,6.74E-76,3.35E-76,2.04E-74,1.28E-63,8.93E-84,2.95E-89,2.49E-60
