Time (s),Volume (m^3),Ar,He,Ne,N2,C7H16(1),C2H5(7),C5H11(6),C4H9(4),C3H7(5),C2H4(17),CH3(12),H(9),H2(49),C2H3(42),C#C(51),C3H6(85)
0.0,41.572359999999996,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5944310850220155e-20,41.57236000000001,0.98,0.0,0.0,0.0,0.019999999999999806,1.1614572273455515e-16,1.1614572273452746e-16,8.068563125156116e-17,8.068563125158626e-17,3.322966683788547e-29,3.579221554757125e-30,9.824500422140335e-31,4.7396167584320136e-61,2.579346918171064e-48,8.625633840095393e-63,2.0395281799321432e-91
4.4644070380616436e-20,41.57236000000002,0.98,0.0,0.0,0.0,0.01999999999999945,3.2520802365677136e-16,3.252080236566041e-16,2.2591976750434487e-16,2.259197675044965e-16,2.007071877008046e-28,2.1618498190737426e-29,5.933998254973021e-30,1.4902113427195155e-59,3.0622006612523487e-47,1.929519787493776e-61,1.5737913144815364e-89
1.0204358944140899e-19,41.57236000000005,0.98,0.0,0.0,0.0,0.01999999999999874,7.433326255012712e-16,7.433326255004663e-16,5.163880400098071e-16,5.163880400105367e-16,9.663187116453541e-28,1.0408376281240305e-28,2.8569647227587963e-29,3.324579529198616e-58,3.006486767819139e-46,3.812405948193579e-60,1.7151947596549242e-87
2.168426275629941e-19,41.57236000000011,0.98,0.0,0.0,0.0,0.019999999999997325,1.5795818291905413e-15,1.5795818291870256e-15,1.0973245850203094e-15,1.0973245850234958e-15,4.2201676884077775e-27,4.545611374548349e-28,1.2477115536122214e-28,6.22656951985471e-57,2.6592034987554244e-45,6.783972688739042e-59,1.403135810092659e-85
4.464407038061644e-19,41.572360000000224,0.98,0.0,0.0,0.0,0.01999999999999449,3.2520802365701635e-15,3.2520802365554847e-15,2.2591976750396278e-15,2.25919767505293e-15,1.7618369357413774e-26,1.897703268338347e-27,5.208950123822396e-28,1.075485040710268e-55,2.2352207697323312e-44,1.1442161505841261e-57,1.0098470330034585e-83
9.056368562925048e-19,41.572360000000465,0.98,0.0,0.0,0.0,0.019999999999988822,6.597077051333733e-15,6.597077051273764e-15,4.582943855071518e-15,4.582943855125861e-15,7.197678755725312e-26,7.752737056517932e-27,2.1280260894403242e-27,1.7869344803914398e-54,1.832569033373748e-43,1.8793784631968905e-56,6.845072011929623e-82
1.8240291612651857e-18,41.572360000000934,0.98,0.0,0.0,0.0,0.019999999999977484,1.3287070680878174e-14,1.328707068063577e-14,9.230436215108309e-15,9.230436215327972e-15,2.9094168340346344e-25,3.1337802738671063e-26,8.601821695629124e-27,2.913154202053047e-53,1.4840619157810263e-42,3.0465534767465627e-55,4.507102780994215e-80
3.660813771210547e-18,41.57236000000188,0.98,0.0,0.0,0.0,0.019999999999954807,2.6667057940036257e-14,2.6667057939061575e-14,1.852542093507394e-14,1.85254209359572e-14,1.1698637128757882e-24,1.2600792652730305e-25,3.4587546716364683e-26,4.704751817871813e-52,1.1945021402800452e-41,4.9063804542526485e-54,2.92559893125073e-78
7.33438299110127e-18,41.57236000000376,0.98,0.0,0.0,0.0,0.019999999999909458,5.3427032458629244e-14,5.342703245472035e-14,3.711539037457339e-14,3.7115390378115655e-14,4.691676722890275e-24,5.053481438110683e-25,1.3871153199180716e-25,7.562751140078546e-51,9.585127404427663e-41,7.875827228319922e-53,1.885625367475209e-76
1.468152143088272e-17,41.57236000000753,0.98,0.0,0.0,0.0,0.01999999999981876,1.0694698149692255e-13,1.0694698148126657e-13,7.429532925184504e-14,7.42953292660326e-14,1.8791178546800362e-23,2.0240284572781924e-24,5.555696434828941e-25,1.2128594276073304e-49,7.67976600533616e-40,1.262185939683251e-51,1.2110545671037695e-74
2.937579831044562e-17,41.57236000001507,0.98,0.0,0.0,0.0,0.01999999999963736,2.139868795779384e-13,2.1398687951527354e-13,1.486552069994794e-13,1.486552070562666e-13,7.52136854069591e-23,8.101388600399526e-24,2.223726430260406e-24,1.942833439363087e-48,6.148482430396815e-39,2.0211420110617357e-50,7.764390118652534e-73
5.87643520695714e-17,41.57236000003016,0.98,0.0,0.0,0.0,0.01999999999927456,4.2806667575768695e-13,4.280666755069459e-13,2.973749624671123e-13,2.9737496269433495e-13,3.009527119511438e-22,3.24161069561002e-23,8.897802259273026e-24,3.1103413724470494e-47,4.920654593038703e-38,3.2351434799018874e-49,4.973579050264671e-71
1.17541459587823e-16,41.57236000006033,0.98,0.0,0.0,0.0,0.01999999999854896,8.562262681880517e-13,8.562262671849243e-13,5.948144732918347e-13,5.948144742008733e-13,1.2040068161310853e-21,1.2968553598301094e-22,3.55970029413386e-23,4.9779929685897644e-46,3.937271292932915e-37,5.177282839248099e-48,3.1844894286431644e-69
2.350956746243262e-16,41.57236000012065,0.98,0.0,0.0,0.0,0.019999999997097763,1.7125454533322519e-12,1.7125454493194162e-12,1.1896934944991057e-12,1.1896934981355567e-12,4.816419227226085e-21,5.1878436360028875e-22,1.4239960041931072e-22,7.96594636775575e-45,3.1501161125267565e-36,8.284495261974016e-47,2.0385208998498306e-67
4.702041046973325e-16,41.57236000024132,0.98,0.0,0.0,0.0,0.019999999994195366,3.4251838247545337e-12,3.425183808702538e-12,2.379451535144954e-12,2.37945154969135e-12,1.926646084730717e-20,2.075221899500021e-21,5.696215799720557e-22,1.2746440391571415e-43,2.520212525812813e-35,1.3255866626990178e-45,1.3047965529398975e-65
9.40420964843345e-16,41.57236000048263,0.98,0.0,0.0,0.0,0.01999999998839057,6.850460572134625e-12,6.8504605079253355e-12,4.758967609361877e-12,4.75896766754864e-12,7.706741117463865e-20,8.301056513250995e-21,2.2785326785962445e-21,2.0395045724696538e-42,2.016217873251976e-34,2.1209925955786626e-44,8.351154934403711e-64
1.8808546851353706e-15,41.57236000096526,0.98,0.0,0.0,0.0,0.019999999976780987,1.370101408503692e-11,1.370101382819715e-11,9.517999729496616e-12,9.517999962246041e-12,3.082727793428186e-19,3.320456406288543e-20,9.114223442971384e-21,3.26326663872021e-41,1.6129934351094085e-33,3.3936312920566195e-43,5.344883865974976e-62
3.761722125719422e-15,41.57236000193055,0.98,0.0,0.0,0.0,0.019999999953561817,2.7402121183409953e-11,2.7402120156045664e-11,1.9036063856569685e-11,1.9036064787572115e-11,1.2330973790519641e-18,1.3281893368529576e-19,3.6457079312644446e-20,5.2212741884948035e-40,1.290402395080254e-32,5.429844547665334e-42,3.4207700164685927e-60
7.523457006887524e-15,41.57236000386109,0.98,0.0,0.0,0.0,0.019999999907123475,5.4804335670429766e-11,5.4804331560962265e-11,3.8072191657930175e-11,3.8072195381949276e-11,4.932401978511144e-18,5.312771008995738e-19,1.458286889950074e-19,8.354077230597802e-39,1.032324962613088e-31,8.687778760835957e-41,2.8927852996564867e-58
1.504692676922373e-14,41.5723600077222,0.98,0.0,0.0,0.0,0.01999999981424679,1.0960876580556432e-10,1.096087493676742e-10,7.614444544950872e-11,7.614446034560313e-11,1.9729632349991037e-17,2.1251112262210786e-18,5.833155047664066e-19,1.336655561397651e-37,8.258611690985899e-31,1.3900467685562883e-39,1.8584169071745088e-56
3.009386629389614e-14,41.5723600154444,0.98,0.0,0.0,0.0,0.01999999962849342,2.1921763072021252e-10,2.1921756496861654e-10,1.5228894578809656e-10,1.5228900537250488e-10,7.891857436238136e-17,8.500451272556676e-18,2.3332635590127397e-18,2.1386518664976706e-36,6.60689383500995e-30,2.2240764609179779e-38,1.1894515715288938e-54
6.018774534324094e-14,41.57236003088883,0.98,0.0,0.0,0.0,0.019999999256986693,4.3843537912702014e-10,4.384351161206028e-10,3.045779174870004e-10,3.0457815582465176e-10,3.1567435609836685e-16,3.400182360496181e-17,9.333057654934197e-18,3.421846657278032e-35,5.285516358793764e-29,3.5585233153105835e-37,7.612409475470614e-53
9.028162439258576e-14,41.57236004633325,0.98,0.0,0.0,0.0,0.019999998885479972,6.576531461113335e-10,6.576525872227186e-10,4.5686686020763765e-10,4.568673666751093e-10,6.708080081790476e-16,7.225389323406174e-17,1.9832750034899007e-17,1.3045794288610714e-34,1.5113273678331747e-28,1.3097729271525031e-36,3.7776357742510685e-52
1.2037550344193058e-13,41.57236006177768,0.98,0.0,0.0,0.0,0.019999998513973258,8.768709316731479e-10,8.768699782749918e-10,6.09155773950013e-10,6.091566379238448e-10,1.144319503237922e-15,1.2325666521681454e-16,3.3832340995521666e-17,3.5100685866153425e-34,3.1878270832375686e-28,3.321867708668974e-36,1.598077587647308e-51
1.805632615406202e-13,41.57236009266656,0.98,0.0,0.0,0.0,0.01999999777095985,1.315306546397017e-09,1.3153045725075446e-09,9.137335334245731e-10,9.137353221722749e-10,2.369167958310475e-15,2.551873426379771e-16,7.004557152617591e-17,1.4197084872939683e-33,8.706943951616997e-28,1.1616731784149983e-35,1.4394419757266414e-50
2.407510196393098e-13,41.57236012355545,0.98,0.0,0.0,0.0,0.01999999702794646,1.7537422294369396e-09,1.753738872368506e-09,1.2183111863357713e-09,1.2183142285264422e-09,4.029333734958091e-15,4.3400694224870193e-16,1.191291798650601e-16,3.845602196885375e-33,1.8217837973843532e-27,2.9027048351667023e-35,5.677828512911415e-50
3.0093877773799946e-13,41.57236015444436,0.98,0.0,0.0,0.0,0.019999996284933107,2.1921779856725977e-09,2.192172856831521e-09,1.5228887250719723e-09,1.5228933728508232e-09,6.1559107446571e-15,6.630647065782674e-16,1.8200248069537871e-16,8.639031421559191e-33,3.3164875270773966e-27,6.15840436952802e-35,1.7901764969336367e-49
4.2131429393537873e-13,41.57236021622223,0.98,0.0,0.0,0.0,0.019999994798906472,3.0690497223286187e-09,3.069039859753503e-09,2.132043452847801e-09,2.13205239035665e-09,1.1837594466607448e-14,1.275050628010007e-15,3.49984361608618e-16,3.350109931945053e-32,8.756503017291668e-27,2.2562475557183394e-34,1.4752500223524512e-48
6.620653263301373e-13,41.57236033977818,0.98,0.0,0.0,0.0,0.01999999182685354,4.822794086893571e-09,4.82277002522126e-09,3.350351518169612e-09,3.350373322956986e-09,2.8880125402489647e-14,3.110740988189414e-15,8.538560526082808e-16,2.1546856006008523e-31,3.385998899495687e-26,1.4308455307830095e-33,2.5292239024853265e-47
9.028163587248958e-13,41.57236046333444,0.98,0.0,0.0,0.0,0.019999988854801046,6.576539640815626e-09,6.57649506579464e-09,4.56865772825966e-09,4.568698122319141e-09,5.3501375206439236e-14,5.762759075603351e-15,1.581797573067809e-15,7.110740583235667e-31,8.40320096101415e-26,4.66135265517689e-33,1.3730157577518162e-46
1e-12,41.57236071044785,0.98,0.0,0.0,0.0,0.019999987655076792,7.2844720563170005e-09,7.284417412366674e-09,5.060449210962298e-09,5.060498729519438e-09,6.558666320655211e-14,7.064499750273571e-15,1.9391065658176834e-15,1.1342822657421181e-30,1.156954894758612e-25,7.435378162188391e-33,3.3883951060934995e-46
