Time (s),Volume (m^3),Ar,He,Ne,N2,C12H26(1),C6H13(16),C10H21(6),C2H5(7),C9H19(4),C3H7(5),C8H17(10),C4H9(11),C7H15(13),C5H11(14),CH3(19),C2H4(25),H(9),C6H13(35),C3H6(75),C10H21(55),C7H14(95),C7H14(139),C7H14(156),C7H14(155),C7H14(170),C7H14(184),C7H14(223),C7H14(224),C7H14(222),C7H14(240),C7H14(289),C7H14(288),C7H14(315),C7H14(268),C7H14(206),C7H14(347),C7H14(346),C7H14(314),C7H14(332),C7H14(313),C7H14(397),C7H14(239),C7H14(345),C4H7(159),C4H7(143),C4H7(453),C4H6(450),C4H6(445),C4H6(463),C3H7(77),C3H6(124),C4H6(447),C3H5(121)
0.0,33.257888,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4008329141381992e-20,33.257888000000015,0.98,0.0,0.0,0.0,0.01999999999999947,1.940021927620235e-16,1.2085664169169773e-16,1.2085664170093798e-16,1.122072571140511e-16,1.1220725710932416e-16,1.0286734717283879e-16,1.028673471735608e-16,9.825012514946711e-17,9.825012515111987e-17,6.603206363382165e-27,1.8694333578631463e-26,2.068908905442245e-27,1.3460809157175557e-26,2.1826880466373716e-28,6.685428374757289e-27,1.1711613614170723e-27,9.124452366706522e-38,8.152353957530082e-48,2.5733664196683863e-48,2.0048953194211697e-58,1.0024476597072383e-58,8.954289719625653e-69,6.543115376981567e-69,2.0639328560446429e-69,2.22471853686476e-79,1.0573279027401749e-89,9.937954076136894e-90,8.382210468043783e-93,8.039992462836344e-80,7.810013396790265e-69,1.6085021340246136e-79,1.3364222570246355e-89,9.777207689496416e-93,4.0614868439303657e-84,1.8570147360628633e-90,1.0565209601917374e-100,4.7671110952972934e-80,2.2949058161200556e-91,3.8136081952545865e-51,1.9203247005990017e-42,1.3268341099067946e-51,1.4462233879285298e-53,2.5244356392295997e-64,1.6254531097882853e-65,5.589083869656951e-28,6.842740511349813e-43,6.40684265570623e-58,4.455837428839081e-41
3.922332159586958e-20,33.25788800000005,0.98,0.0,0.0,0.0,0.019999999999998512,5.432061396849109e-16,3.383985967108158e-16,3.3839859676662707e-16,3.1418031991433686e-16,3.1418031988578616e-16,2.8802857208435957e-16,2.8802857208872044e-16,2.751003504146226e-16,2.751003504246052e-16,3.9883366432675686e-26,1.1291377481095592e-25,1.2496209788894986e-26,8.130328729942658e-26,1.3183435823793687e-27,4.0379987379704384e-26,7.073814622728921e-27,1.0832549847759623e-36,1.8236489703860688e-46,5.756517744939273e-47,8.27325666966085e-57,4.1366283348052174e-57,6.740565798791363e-67,4.925493937544369e-67,1.5536771376570557e-67,3.0367298377123246e-77,2.6084185555250475e-87,2.4516844534387648e-87,1.093402831278803e-90,1.0974550086779185e-77,5.879183144924212e-67,2.1955974850752196e-77,3.2969418514268756e-87,1.2717448771519653e-90,3.134025201111615e-82,4.581238879396219e-88,4.7021353139054117e-98,6.507083149200086e-78,5.6615122890949626e-89,8.530888986664793e-50,2.2798094827165457e-41,2.9680745212570335e-50,3.2351438685640026e-52,1.041715434543383e-62,6.707477765025342e-64,3.375806656940964e-27,8.123701545735759e-42,1.4331850718753054e-56,5.2899701953617814e-40
8.965330650484474e-20,33.257888000000115,0.98,0.0,0.0,0.0,0.0199999999999966,1.241614033335667e-15,7.734825066453012e-16,7.734825069140084e-16,7.181264454948837e-16,7.181264453574249e-16,6.583510219090451e-16,6.583510219300408e-16,6.288008009293922e-16,6.288008009774543e-16,1.9202124101486468e-25,5.436312204069315e-25,6.01638709706179e-26,3.9144033014195875e-25,6.3472568727774245e-27,1.944122570804975e-25,3.405737238655553e-26,1.0635461672450604e-35,3.6032230521965514e-45,1.1373909002596489e-45,3.2728180614067794e-55,1.6364090306834545e-55,5.3295626884159625e-65,3.894439947181017e-65,1.2284457938763905e-65,4.797288872787314e-75,8.234001848591122e-85,7.739238886386515e-85,2.420568006126338e-88,1.7337099397217475e-75,4.6484933265268204e-65,3.468505908580748e-75,1.0407465182915727e-84,2.8175087264720494e-88,3.415613964913915e-80,1.4461609060836803e-85,2.966680521796336e-95,1.0279596557815763e-75,1.7871711030895194e-86,1.6855599052156128e-48,2.238330465330968e-40,5.864413753464201e-49,6.392099110307649e-51,4.120922660756227e-61,2.653411495900265e-62,1.6253055887984914e-26,7.975898373079255e-41,2.8317321774239115e-55,5.19372410657131e-39
1.905132763227951e-19,33.25788800000025,0.98,0.0,0.0,0.0,0.019999999999992777,2.6384298198571028e-15,1.6436503260992676e-15,1.6436503272727831e-15,1.5260186965758792e-15,1.5260186959755605e-15,1.3989959215649918e-15,1.3989959216566856e-15,1.336201701896767e-15,1.3362017021066662e-15,8.386072078158849e-25,2.374180363869591e-24,2.627514309948583e-25,1.7095227614246626e-24,2.772013853490609e-26,8.490494030005826e-25,1.4873749286428784e-25,9.406945398996471e-35,6.41174289422242e-44,2.0239263345909976e-44,1.168045517203755e-53,5.840227585876259e-54,3.8093485526408384e-63,2.7835828276291215e-63,8.780416859338048e-64,6.862365308151398e-73,2.356465717750898e-82,2.214870902845162e-82,3.999553932884169e-86,2.4800155402330706e-73,3.3225486529471447e-63,4.961584605814623e-73,2.9784830466092634e-82,4.657023238486091e-86,2.7941842888475874e-78,4.1387270284363165e-83,1.698327127725702e-92,1.4704627691682723e-73,5.114654474014311e-84,2.9993637894407955e-47,1.9797779413863722e-39,1.0435406159176982e-47,1.1374398818202627e-49,1.4707280239162058e-59,9.46983712278569e-61,7.098136509320917e-26,7.054591826986028e-40,5.0389160670199014e-54,4.5937901546205413e-38
3.9223321595869574e-19,33.2578880000005,0.98,0.0,0.0,0.0,0.019999999999985127,5.43206138977967e-15,3.383985963347185e-15,3.3839859682463803e-15,3.141803198417476e-15,3.141803195911263e-15,2.880285720903188e-15,2.880285721285991e-15,2.7510035035828557e-15,2.7510035044591452e-15,3.501020010862374e-24,9.91173565784096e-24,1.0969355016987169e-24,7.136921001304781e-24,1.157261233162167e-25,3.544614118953978e-24,6.209497535022085e-25,7.90710440619461e-34,1.0814341525189313e-42,3.413647580308067e-43,3.946561798458846e-52,1.973280899133032e-52,2.57626426027739e-61,1.882538407100737e-61,5.938200152933814e-62,9.285777392813555e-71,6.378562092954642e-80,5.995288393785116e-80,5.7867337365902065e-84,3.3558213888161956e-71,2.2470412552093485e-61,6.713744912552224e-71,8.062259897015132e-80,6.739151237905498e-84,2.0109947108405605e-76,1.1202848053567494e-80,9.195102700214149e-90,1.98974979138864e-71,1.3844521883117404e-81,5.058865417770861e-46,1.6641226386755688e-38,1.76008216248011e-46,1.918458605633431e-48,4.969257574550666e-58,3.199643912753166e-59,2.9633322630630474e-25,5.929809569207751e-39,8.498868302547777e-53,3.861357420590864e-37
7.956730952304971e-19,33.257888000000996,0.98,0.0,0.0,0.0,0.01999999999996983,1.101932451714359e-14,6.864657231202953e-15,6.864657251217769e-15,6.3733722008190964e-15,6.373372190580398e-15,5.8428653196847896e-15,5.8428653212486645e-15,5.580607105960394e-15,5.580607109540323e-15,1.4302809085916174e-23,4.0492674257673613e-23,4.481339445825539e-24,2.91566509497171e-23,4.72778987760836e-25,1.4480905231627493e-23,2.5367823525649936e-24,6.482721898592564e-33,1.776258834327395e-41,5.606926380593901e-42,1.2975431653205312e-50,6.487715825968542e-51,1.6947526666181219e-59,1.2383966336256943e-59,3.906346375515351e-60,1.2219560837863673e-68,1.678942407174631e-77,1.5780584654298396e-77,7.865469165347926e-82,4.4160722398624686e-69,1.4781787811904812e-59,8.834910743134191e-69,2.1221193492372713e-77,9.160694433165117e-82,1.3631176758302384e-74,2.94877379338166e-78,4.8408589590238e-87,2.6183988269887853e-69,3.6441057763053005e-79,8.309201608797593e-45,1.364348262170115e-37,2.8909349368042456e-45,3.1510739983001744e-47,1.6337831583297885e-56,1.0519728999634535e-57,1.210617918583897e-24,4.86161625966787e-38,1.3959416221432502e-51,3.165774105167962e-36
1.6025528537741e-18,33.257888000002026,0.98,0.0,0.0,0.0,0.019999999999939233,2.2193850721946564e-14,1.3825999740354241e-14,1.3825999821257321e-14,1.2836510200496035e-14,1.2836510159109583e-14,1.1768024517668833e-14,1.1768024523990264e-14,1.1239814306736912e-14,1.1239814321207557e-14,5.781424104133129e-23,1.6367786337454442e-22,1.8114290545736364e-23,1.1785584439629595e-22,1.9110483686083433e-24,5.853413405455206e-23,1.025407985429528e-23,5.249876235816121e-32,2.879392086983889e-40,9.089069215001803e-41,4.208550100140332e-49,2.1042750496587206e-49,1.0996133362811379e-57,8.035139771783253e-58,2.534570775427603e-58,1.5858632701668848e-66,4.358119850170682e-75,4.096250036254513e-75,1.0372756577476237e-79,5.731209907770687e-67,9.590928148406392e-58,1.14660098193238e-66,5.508497742070074e-75,1.208071832796503e-79,8.975378598394049e-73,7.654288575292527e-76,2.5132020940576938e-84,3.398176565575229e-67,9.45919868886922e-77,1.3469573776090746e-43,1.1048845649336519e-36,4.686312927351478e-44,5.108026668191078e-46,5.299136438837227e-55,3.412048791043895e-56,4.893511171671189e-24,3.937063072498445e-37,2.26288136713319e-50,2.5637259459752304e-35
3.2163123708613055e-18,33.25788800000406,0.98,0.0,0.0,0.0,0.019999999999878042,4.454290293185305e-14,2.7748684652415795e-14,2.7748684977723532e-14,2.5762786179344717e-14,2.5762786012931613e-14,2.361834291532028e-14,2.3618342940738478e-14,2.2558228692375717e-14,2.2558228750561542e-14,2.324685196091055e-22,6.581414882342744e-22,7.283676559843283e-23,4.738931628896374e-22,7.684242317578639e-24,2.3536317708679636e-22,4.1231204011830305e-23,4.225557069439353e-31,4.637172100315414e-39,1.4637665555205807e-39,1.3558404400878653e-47,6.779202197787968e-48,7.085865350480927e-56,5.177812667960459e-56,1.6332675063867888e-56,2.0439583257717892e-64,1.1234329601976368e-72,1.0559283421448237e-72,1.3481916466010912e-77,7.38673667368791e-65,6.180356636409439e-56,1.477810017867049e-64,1.4199765347343397e-72,1.5698688385150968e-77,5.825994600567999e-71,1.9731169585364948e-73,1.295720276839281e-81,4.3797794047261365e-65,2.43838537695459e-74,2.169233300184565e-42,8.893071709189348e-36,7.547107150184751e-43,8.226319245367199e-45,1.707187344152517e-53,1.0992369078865742e-54,1.9676593064986237e-23,3.1688911664586915e-36,3.644300173501911e-49,2.063509676209779e-34
6.443831405035717e-18,33.25788800000812,0.98,0.0,0.0,0.0,0.019999999999755658,8.924100655286826e-14,5.5594054051574825e-14,5.559405535620437e-14,5.161533805502132e-14,5.161533738763034e-14,4.731897971735661e-14,4.731897981929496e-14,4.519505739999638e-14,4.519505763334758e-14,9.32302730858141e-22,2.6394417161150208e-21,2.9210800716529346e-22,1.900523505486392e-21,3.0817255600157894e-23,9.439115966655456e-22,1.653555684604427e-22,3.390743345183505e-30,7.443687913790371e-38,2.349669427925709e-38,4.3533190835142445e-46,2.1766595400544314e-46,4.550491323476598e-54,3.3251537478958926e-54,1.0488725535296719e-54,2.625301363562689e-62,2.885958966379427e-70,2.712547991360555e-70,1.7421067164562262e-75,9.487674077434802e-63,3.968980238147116e-54,1.8981290470471865e-62,3.647742371153367e-70,2.0267851297066835e-75,3.755006121872312e-69,5.068691170219631e-71,6.657132241375743e-79,5.62547715251928e-63,6.263907650024004e-72,3.482099756538097e-41,7.136129182529486e-35,1.21146007191935e-41,1.3205063498698025e-43,5.481420230244998e-52,3.529418791636422e-53,7.891193770427446e-23,2.5428360550424173e-35,5.849907239858252e-48,1.6558365530734584e-33
